size	NlongN	N
10000	5441500	867400
20000	3946700	800100
30000	5937500	1307700
40000	5723400	1020500
50000	9311400	1469600
60000	10350700	1371900
70000	12683100	1320400
80000	8081800	773400
90000	7583300	721900
100000	10349200	845400
110000	10036100	1147100
120000	15263100	1711200
130000	22106100	2007400
140000	18630900	1297200
150000	13538900	1774200
160000	15666000	1660300
170000	21022600	1682200
180000	20879500	1806700
190000	23575400	2997500
200000	41032700	3046800
210000	44144000	2471500
220000	21693500	2213700
230000	23170300	2031500
240000	22557200	2338700
250000	30028700	2613100
260000	24533400	2928300
270000	28443800	2676400
280000	29379300	4043500
290000	51658200	4639800
300000	54373400	5319500
310000	63695200	4540600
320000	31210700	2997100
330000	32192000	3440900
340000	34149100	4428800
350000	35263000	4088700
360000	42860500	4298400
370000	35945300	3441600
380000	35530500	3889200
390000	40217800	4337300
400000	42234000	4300700
410000	67411700	6199800
420000	76190900	6860100
430000	75937200	6517200
440000	81109300	6782400
450000	43193700	4525300
460000	51408700	7265700
470000	62071800	4424900
480000	44853300	4477000
490000	45782600	4473000
500000	47524400	4718300
510000	69061200	6328000
520000	51498400	4843000
530000	49971100	5193200
540000	50164700	5160100
550000	54363200	5669100
560000	54351600	5764400
570000	55843500	6386600
580000	113807300	9245100
590000	103364100	6687500
600000	57008300	5953800
610000	58989400	6090300
620000	58621900	6147200
630000	62751700	7086200
640000	64022300	7608200
650000	68821000	8279100
660000	71789200	7759200
670000	64493900	6828300
680000	65708600	7493200
690000	66230500	7434300
700000	67288400	7166300
710000	72987900	7383000
720000	78933400	9635500
730000	75188800	7862100
740000	72375500	7784200
750000	72201600	7926200
760000	73418500	9282300
770000	75283800	22866700
780000	75572400	8133400
790000	78050800	8769000
800000	80331900	8953400
810000	81049500	8800800
820000	81126100	8899700
830000	84431100	9859000
840000	84832700	9438400
850000	84640400	9410600
860000	84256900	9399200
870000	106641000	10644700
880000	86617100	9789700
890000	87412300	9646200
900000	90526500	9772600
910000	89425500	9755000
920000	101426400	11010200
930000	92806100	10063700
940000	93484600	10399800
950000	93539900	10293200
960000	106357400	14494300
970000	102287400	10696500
980000	99268000	10446700
990000	98980800	10766300
